Year,Geography,Measure type,Annual Mean Temperature,Unit of Measure
2000,England trend,Annual Mean Temperature,9.893287109,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,England,Annual Mean Temperature,9.224858247,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,England,Annual Mean Temperature,9.139890765,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,England,Annual Mean Temperature,8.136461014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,England,Annual Mean Temperature,9.019118247,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,Scotland,Annual Mean Temperature,6.920033918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,Scotland,Annual Mean Temperature,7.213055863,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,Scotland,Annual Mean Temperature,6.931196858,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,Scotland,Annual Mean Temperature,7.400052356,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,England trend,Annual Mean Temperature,8.501498284,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2009,Wales,Annual Mean Temperature,9.279207151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,Northern Ireland trend,Annual Mean Temperature,8.363396091,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,Scotland,Annual Mean Temperature,7.221572164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,Scotland,Annual Mean Temperature,7.048239262,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,UK trend,Annual Mean Temperature,8.126236104,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1912,Northern Ireland trend,Annual Mean Temperature,8.205989467,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,England,Annual Mean Temperature,8.769283233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,England,Annual Mean Temperature,8.76885418,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,Scotland,Annual Mean Temperature,6.825133306,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,England,Annual Mean Temperature,8.723043178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,Scotland,Annual Mean Temperature,6.723937836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,Scotland,Annual Mean Temperature,6.522656329,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,Scotland,Annual Mean Temperature,7.045034274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,Scotland,Annual Mean Temperature,7.300111148,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,Scotland,Annual Mean Temperature,7.511068384,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,UK trend,Annual Mean Temperature,8.134947669,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,Scotland,Annual Mean Temperature,5.962885726,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,Scotland,Annual Mean Temperature,7.067735273,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,UK trend,Annual Mean Temperature,8.164004186,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,Wales,Annual Mean Temperature,9.67106811,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,UK trend,Annual Mean Temperature,8.226335563,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,Wales,Annual Mean Temperature,9.286276421,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,UK trend,Annual Mean Temperature,8.40480408,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,UK trend,Annual Mean Temperature,8.49215719,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,UK trend,Annual Mean Temperature,8.364530378,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,UK trend,Annual Mean Temperature,8.26970362,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,UK trend,Annual Mean Temperature,8.348537264,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,Scotland,Annual Mean Temperature,8.199380466,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,Wales,Annual Mean Temperature,9.161695425,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,Scotland,Annual Mean Temperature,8.006487123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,Wales,Annual Mean Temperature,7.523062192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,Wales,Annual Mean Temperature,9.689563014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,Wales,Annual Mean Temperature,7.877631753,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,England trend,Annual Mean Temperature,10.05518351,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,Wales,Annual Mean Temperature,9.090412192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,Wales,Annual Mean Temperature,8.56305123,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,Northern Ireland trend,Annual Mean Temperature,8.343448998,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,Wales,Annual Mean Temperature,9.119849973,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,Northern Ireland trend,Annual Mean Temperature,8.20512077,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,Northern Ireland trend,Annual Mean Temperature,8.337996638,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,Wales,Annual Mean Temperature,8.539206493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,Northern Ireland trend,Annual Mean Temperature,8.529325516,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,Wales,Annual Mean Temperature,8.277021699,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,Northern Ireland trend,Annual Mean Temperature,8.714762837,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,Wales,Annual Mean Temperature,8.811402377,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,Northern Ireland trend,Annual Mean Temperature,8.59984625,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,England,Annual Mean Temperature,10.10502334,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,Northern Ireland trend,Annual Mean Temperature,8.434794596,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,England,Annual Mean Temperature,9.632471808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,Northern Ireland trend,Annual Mean Temperature,8.457385446,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,Wales,Annual Mean Temperature,8.387809044,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,Wales,Annual Mean Temperature,8.08165611,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,Wales,Annual Mean Temperature,8.560923699,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,Wales,Annual Mean Temperature,7.569319781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,Wales,Annual Mean Temperature,8.383920027,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,Wales,Annual Mean Temperature,8.360357534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,Wales,Annual Mean Temperature,8.600084466,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,England,Annual Mean Temperature,10.00086926,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,England,Annual Mean Temperature,9.538775929,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,England,Annual Mean Temperature,9.111266767,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1930,Scotland,Annual Mean Temperature,6.925777808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,England,Annual Mean Temperature,9.292482712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1941,Scotland,Annual Mean Temperature,6.681454767,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1952,Scotland,Annual Mean Temperature,6.564526612,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,England,Annual Mean Temperature,8.540835178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,England,Annual Mean Temperature,8.636081148,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1963,Scotland,Annual Mean Temperature,6.371414548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1974,Scotland,Annual Mean Temperature,7.172082877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1985,Scotland,Annual Mean Temperature,6.442940904,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1996,Scotland,Annual Mean Temperature,7.029958579,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,Scotland,Annual Mean Temperature,5.937719479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,UK trend,Annual Mean Temperature,8.1417866,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,Scotland,Annual Mean Temperature,6.796320438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,UK trend,Annual Mean Temperature,8.164039688,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,UK trend,Annual Mean Temperature,8.239588829,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,UK trend,Annual Mean Temperature,8.416955065,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,Northern Ireland trend,Annual Mean Temperature,8.323404512,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,Wales,Annual Mean Temperature,9.709338411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,Northern Ireland trend,Annual Mean Temperature,8.208144223,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,UK trend,Annual Mean Temperature,8.492990946,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,Northern Ireland trend,Annual Mean Temperature,8.35374264,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,Wales,Annual Mean Temperature,9.853838493,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,UK trend,Annual Mean Temperature,8.347040663,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,Northern Ireland trend,Annual Mean Temperature,8.54646381,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,UK trend,Annual Mean Temperature,8.277961686,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,Northern Ireland trend,Annual Mean Temperature,8.719488845,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,Northern Ireland trend,Annual Mean Temperature,8.577214779,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,Northern Ireland trend,Annual Mean Temperature,8.435198822,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,England trend,Annual Mean Temperature,10.17774359,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2007,Scotland,Annual Mean Temperature,8.157679233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2018,Scotland,Annual Mean Temperature,7.773578438,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1897,Wales,Annual Mean Temperature,8.715997233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1886,Wales,Annual Mean Temperature,7.86428126,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,UK,Annual Mean Temperature,9.61783735,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2008,Scotland,Annual Mean Temperature,7.639495546,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2019,Scotland,Annual Mean Temperature,7.930788521,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1896,Wales,Annual Mean Temperature,8.503325191,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1885,Wales,Annual Mean Temperature,7.567385205,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1995,Wales,Annual Mean Temperature,9.663070192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1984,Wales,Annual Mean Temperature,8.936022131,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,Northern Ireland trend,Annual Mean Temperature,8.303540805,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1973,Wales,Annual Mean Temperature,8.812285397,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,Northern Ireland trend,Annual Mean Temperature,8.211862887,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,Northern Ireland trend,Annual Mean Temperature,8.368870918,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1969,England,Annual Mean Temperature,8.858138849,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1962,Wales,Annual Mean Temperature,7.786552548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1920,Scotland,Annual Mean Temperature,7.182745574,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,Northern Ireland trend,Annual Mean Temperature,8.568546542,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1951,Wales,Annual Mean Temperature,8.467051479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1958,England,Annual Mean Temperature,8.968958082,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1931,Scotland,Annual Mean Temperature,6.854963014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1940,Wales,Annual Mean Temperature,8.400809044,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,Northern Ireland trend,Annual Mean Temperature,8.721500495,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1947,England,Annual Mean Temperature,9.170866521,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1936,England,Annual Mean Temperature,8.888656694,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1942,Scotland,Annual Mean Temperature,6.775980959,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,Northern Ireland trend,Annual Mean Temperature,8.557473703,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1925,England,Annual Mean Temperature,8.810130712,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1953,Scotland,Annual Mean Temperature,7.893016,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1964,Scotland,Annual Mean Temperature,7.130810847,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1914,England,Annual Mean Temperature,9.450426411,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1903,England,Annual Mean Temperature,8.790874192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1975,Scotland,Annual Mean Temperature,7.474885562,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2020,Northern Ireland,Annual Mean Temperature,9.282932623,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1986,Scotland,Annual Mean Temperature,6.418727233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1997,Scotland,Annual Mean Temperature,8.092075233,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1904,UK trend,Annual Mean Temperature,8.146708714,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1887,Scotland,Annual Mean Temperature,6.579038521,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1898,Scotland,Annual Mean Temperature,7.552203726,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1915,UK trend,Annual Mean Temperature,8.160341231,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1926,UK trend,Annual Mean Temperature,8.252184393,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1937,UK trend,Annual Mean Temperature,8.432854365,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1948,UK trend,Annual Mean Temperature,8.490109856,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1959,UK trend,Annual Mean Temperature,8.33315293,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2017,Wales,Annual Mean Temperature,9.879326247,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2006,Wales,Annual Mean Temperature,9.934677151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,UK trend,Annual Mean Temperature,8.16088022,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1899,Scotland,Annual Mean Temperature,7.121695151,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,UK trend,Annual Mean Temperature,8.262984287,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,UK trend,Annual Mean Temperature,8.444111776,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,UK trend,Annual Mean Temperature,8.481079867,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,Northern Ireland trend,Annual Mean Temperature,8.283720147,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1916,Northern Ireland trend,Annual Mean Temperature,8.219559537,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1927,Northern Ireland trend,Annual Mean Temperature,8.380835813,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1938,Northern Ireland trend,Annual Mean Temperature,8.589243112,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2016,Wales,Annual Mean Temperature,9.615162541,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2009,Scotland,Annual Mean Temperature,7.803545397,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2005,Wales,Annual Mean Temperature,9.695325534,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1949,Northern Ireland trend,Annual Mean Temperature,8.71767941,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,UK,Annual Mean Temperature,7.938487781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1895,Wales,Annual Mean Temperature,7.738677479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2010,Northern Ireland,Annual Mean Temperature,7.946363178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1884,Wales,Annual Mean Temperature,8.715014891,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1994,Wales,Annual Mean Temperature,9.267121562,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1910,Scotland,Annual Mean Temperature,6.792791781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1979,England,Annual Mean Temperature,8.39697611,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1968,England,Annual Mean Temperature,8.890491885,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1921,Scotland,Annual Mean Temperature,7.68325274,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1983,Wales,Annual Mean Temperature,9.162387342,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1957,England,Annual Mean Temperature,9.580578164,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1932,Scotland,Annual Mean Temperature,7.223435519,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1972,Wales,Annual Mean Temperature,8.268184563,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1943,Scotland,Annual Mean Temperature,7.544524301,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1961,Wales,Annual Mean Temperature,8.950718548,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1946,England,Annual Mean Temperature,9.022516329,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1935,England,Annual Mean Temperature,9.317226685,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1954,Scotland,Annual Mean Temperature,6.833577726,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1950,Wales,Annual Mean Temperature,8.608128027,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1924,England,Annual Mean Temperature,8.858804481,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1965,Scotland,Annual Mean Temperature,6.419606986,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1913,England,Annual Mean Temperature,9.35226611,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1976,Scotland,Annual Mean Temperature,7.425794754,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1987,Scotland,Annual Mean Temperature,6.647964932,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1902,England,Annual Mean Temperature,8.40098337,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1998,Scotland,Annual Mean Temperature,7.66683337,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1888,Scotland,Annual Mean Temperature,6.181555656,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1905,UK trend,Annual Mean Temperature,8.149207783,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1967,England,Annual Mean Temperature,9.202049014,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1933,Scotland,Annual Mean Temperature,7.768747781,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,Northern Ireland trend,Annual Mean Temperature,8.264348266,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,Northern Ireland trend,Annual Mean Temperature,8.227845218,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1956,England,Annual Mean Temperature,8.425172049,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1944,Scotland,Annual Mean Temperature,7.16965224,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1993,Wales,Annual Mean Temperature,8.642618877,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,Northern Ireland trend,Annual Mean Temperature,8.392213612,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1982,Wales,Annual Mean Temperature,8.958225397,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1945,England,Annual Mean Temperature,9.818151178,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1955,Scotland,Annual Mean Temperature,6.983394082,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1966,Scotland,Annual Mean Temperature,6.678011644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1971,Wales,Annual Mean Temperature,9.036181644,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,Northern Ireland trend,Annual Mean Temperature,8.607891428,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1934,England,Annual Mean Temperature,9.565042247,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1923,England,Annual Mean Temperature,8.682869479,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1977,Scotland,Annual Mean Temperature,6.910544137,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1960,Wales,Annual Mean Temperature,8.801657077,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1912,England,Annual Mean Temperature,8.946348033,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1988,Scotland,Annual Mean Temperature,7.487262459,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1901,England,Annual Mean Temperature,8.663404192,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1999,Scotland,Annual Mean Temperature,7.79678389,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1889,Scotland,Annual Mean Temperature,7.041922356,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1906,UK trend,Annual Mean Temperature,8.15184455,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1917,UK trend,Annual Mean Temperature,8.160751183,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,Northern Ireland,Annual Mean Temperature,8.690184849,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1928,UK trend,Annual Mean Temperature,8.274118106,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1939,UK trend,Annual Mean Temperature,8.451052518,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
1890,UK,Annual Mean Temperature,7.957247288,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,Northern Ireland,Annual Mean Temperature,9.021359836,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2011,Northern Ireland,Annual Mean Temperature,9.355911808,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2015,Wales,Annual Mean Temperature,9.472119452,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2004,Wales,Annual Mean Temperature,9.655087432,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
2000,UK,Annual Mean Temperature,9.098586858,http://gss-data.org.uk/def/climate-change/concept/measurement-unit/degrees-centigrade
